id,state.abbrev,station,city,county,zipcode,latitude,longitude
7346,OK,GRADY COUNTY CRIMINAL JUSTICE,Chickasha,Grady County,73018,35.053178,-97.936309
7347,OK,GRADY CTY SHERIFF DEPT,Chickasha,Grady County,73018,35.053874,-97.935264
7348,OK,GRAND RIVER DAM AUTHORITY,Langley,Delaware County,74350,36.480540,-95.000099
7349,OK,GUTHRIE POLICE DEPT,Guthrie,Logan County,73044,35.878277,-97.427860
7350,OK,HAILEYVILLE POLICE DEPT,Haileyville,Pittsburg County,74546,34.854502,-95.579738
7351,OK,HENRYETTA POLICE DEPT,Henryetta,Okmulgee County,74437,35.439077,-95.985938
7352,OK,HOOKER POLICE DEPT,Hooker,Texas County,73945,36.860701,-101.213884
7353,OK,JAY POLICE DEPT,Jay,Franklin County,04239,44.505963,-70.217936
7354,OK,JENKS POLICE DEPT,Jenks,Tulsa County,74037,36.023812,-95.975124
7355,OK,KEOTA POLICE DEPARTMENT,Stigler,Haskell County,74462,35.254439,-95.126302
7356,OK,KEYES POLICE DEPARTMENT,Keyes,Cimarron County,73947,36.809348,-102.251640
7357,OK,KICKHPOO TRIBAL POLICE DEPT,McLoud,Pottawatomie County,74851,35.436010,-97.090821
7358,OK,KIEFER POLICE DEPT,Kiefer,Creek County,74041,35.943507,-96.063730
7359,OK,KIOWA CTY SHERIFF DEPT,Greensburg,Kiowa County,67054,37.604298,-99.290920
7360,OK,KREBS POLICE DEPT,Krebs,Pittsburg County,74554,34.927674,-95.715786
7361,OK,LAMONT POLICE DEPT,Lamont,Grant County,74643,36.690846,-97.557009
7362,OK,LAWTON POLICE DEPT,Lawton,Comanche County,73501,34.607889,-98.393215
7363,OK,LEFLORE CTY SHERIFF DEPT,Poteau,Le Flore County,74953,35.054772,-94.624037
7364,OK,MARLOW POLICE DEPT,Marlow,Stephens County,73055,34.647818,-97.956368
7365,OK,MCALESTER POLICE DEPT.,McAlester,Pittsburg County,74501,34.934013,-95.768352
7366,OK,MCCURTAIN CTY SHERIFF DEPT,Idabel,McCurtain County,74745,33.897135,-94.828775
7367,OK,MCCURTAIN POLICE DEPT,McCurtain,Haskell County,74944,35.151125,-94.961924
7368,OK,MCLOUD POLICE DEPT,McLoud,Pottawatomie County,74851,35.435790,-97.092306
7369,OK,MEDFORD POLICE DEPT,Medford,Jackson County,97501,42.322225,-122.874286
7370,OK,MEDICINE PARK POLICE DEPT,Medicine Park,Comanche County,73557,34.728983,-98.502727
7371,OK,MID-AMERICA CHRISTIAN UNIV HI_ED,Oklahoma City,Cleveland County,73170,35.347753,-97.578348
7372,OK,MID-AMERICA CHRISTIAN UNIVERSITY,Oklahoma City,Cleveland County,73170,35.347753,-97.578348
7373,OK,MOORE POLICE DEPT,Moore,Cleveland County,73160,35.338422,-97.485887
7374,OK,MOORELAND POLICE DEPT,Mooreland,Woodward County,73852,36.437991,-99.204733
7375,OK,MURRAY STATE COLLEGE POLICE,Tishomingo,Johnston County,73460,34.223289,-96.678555
7376,OK,MUSKOGEE CTY SHERIFF DEPT,Muskogee,Muskogee County,74401,35.750354,-95.372921
7377,OK,MUSKOGEE POLICE DEPT,Muskogee,Muskogee County,74401,35.747650,-95.372014
